"Component","Version","Latest version","Component type","License","License type","Vulnerability count","Object compilation date","Object","Object full path","Object SHA1","Distribution package","Missing exploit mitigations"
"HdrHistogram","2.1.11","2.1.12","java","BSD","permissive","0","2019-01-17T08:06:30Z","HdrHistogram-2.1.11.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/HdrHistogram-2.1.11.jar","1b035a1a4ce5d3441a4a1a331d04839ef487ec49","",""
"LatencyUtils","2.0.3","2.0.3","java","Public domain","permissive","0","2015-12-15T12:24:38Z","LatencyUtils-2.0.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/LatencyUtils-2.0.3.jar","769c0b82cb2421c8256300e907298a9410a2a3d3","",""
"activation","1.1.1","2.1.0","java","CDDL","weakcopyleft","0","2007-10-24T11:45:40Z","activation-1.1.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/activation-1.1.1.jar","485de3a253e23f645037828c07f1d7f1af40763a","",""
"activation-api","1.1.1","1.2.0","java","CDDL","weakcopyleft","0","2007-10-24T11:45:40Z","activation-1.1.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/activation-1.1.1.jar","485de3a253e23f645037828c07f1d7f1af40763a","",""
"activation-api","1.2.0","1.2.0","java","CDDL","weakcopyleft","0","2017-09-06T14:23:06Z","javax.activation-api-1.2.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/javax.activation-api-1.2.0.jar","85262acf3ca9816f9537ca47d5adeabaead7cb16","",""
"activation-api","1.2.1","2.1.0","java","CDDL","weakcopyleft","0","2018-11-20T22:08:36Z","jakarta.activation-api-1.2.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.activation-api-1.2.1.jar","562a587face36ec7eff2db7f2fc95425c6602bc1","",""
"ant","1.6.2","1.7.0","java","W3C","permissive","1","2004-07-16T09:38:26Z","ant-1.6.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/ant-1.6.2.jar","f43d0b2267d8ac1a86f0e16594d8766f62d8311c","",""
"ant-launcher","1.6.2","1.6.5","java","W3C","permissive","0","2004-07-16T09:38:28Z","ant-launcher-1.6.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/ant-launcher-1.6.2.jar","6259fc1c72d860f047a9389f66496f0dc1dc70f2","",""
"antlr","2.7.7","2.7.7","java","BSD","permissive","0","2006-09-06T11:15:04Z","antlr-2.7.7.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/antlr-2.7.7.jar","83cd2cd674a217ade95a4bb83a8a14f351f48bd0","",""
"aopalliance","","1.0","java","Public domain","permissive","0","2019-12-03T08:48:48Z","spring-aop-5.2.2.RELEASE.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/spring-aop-5.2.2.RELEASE.jar:org/aopalliance/intercept","899739cf7f338f6297aa9eb25ea8b16338fe4e6d","",""
"asciidoctor","1.5.8","2.0.17","ruby","MIT","permissive","0","2018-10-30T17:07:56Z","asciidoctor-1.5.8.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/asciidoctorj-1.5.8.1.jar:specifications/asciidoctor-1.5.8.gemspec","7402058814b5ed17cc7c93d026d60b25ce367247","",""
"asciidoctorj","1.5.8.1","2.5.3","java","Apache","permissive","0","2018-10-30T17:07:40Z","asciidoctorj-1.5.8.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/asciidoctorj-1.5.8.1.jar","2998fb617a536f01658740c6e6f54928626e7c3b","",""
"asm","","9.2","java","BSD","permissive","0","1980-02-01T00:00:00Z","aspectjweaver-1.9.5.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/aspectjweaver-1.9.5.jar:aj/org/objectweb/asm","1740dc9140103b796d1722668805fd4cf852780c","",""
"asm","","9.2","java","BSD","permissive","0","2019-11-28T21:15:36Z","byte-buddy-1.10.4.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/byte-buddy-1.10.4.jar:net/bytebuddy/jar/asm","e682f5d73de28ac3577aaa71021d355f2ad560f7","",""
"asm","","9.2","java","BSD","permissive","0","2007-10-29T15:24:00Z","cglib-nodep-2.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/cglib-nodep-2.2.jar:net/sf/cglib/asm","59afed7ab65e7ec6585d5bc60556c3cbd203532b","",""
"asm","","9.2","java","BSD","permissive","0","2010-02-10T17:34:58Z","lombok-1.18.4.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/lombok-1.18.4.jar:org/objectweb/asm","7103ab519b1cdbb0642ad4eaf1db209d905d0f96","",""
"asm","","9.2","java","BSD","permissive","0","2019-08-12T10:29:18Z","spring-core-5.2.2.RELEASE.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/spring-core-5.2.2.RELEASE.jar:org/springframework/asm","bfcf2f6d0494d89db63ae170b8491223c93a88dc","",""
"asm","5.0.3","9.2","java","BSD","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar:org/jruby/org/objectweb/asm","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"aspectj","1.9.5","1.9.8","java","EPL","permissive","0","1980-02-01T00:00:00Z","aspectjweaver-1.9.5.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/aspectjweaver-1.9.5.jar","1740dc9140103b796d1722668805fd4cf852780c","",""
"attoparser","2.0.5.RELEASE","2.0.5","java","Apache","permissive","0","2018-03-30T09:32:04Z","attoparser-2.0.5.RELEASE.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/attoparser-2.0.5.RELEASE.jar","a93ad36df9560de3a5312c1d14f69d938099fa64","",""
"auth-bypass","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","auth-bypass-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/auth-bypass-8.1.0.jar","509adba75e50142ab9d2b467a8e5e03d11ecd821","",""
"bouncycastle","1.56","1.70","java","MIT","permissive","2","2016-12-22T12:19:10Z","bcpkix-jdk15on-1.56.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcpkix-jdk15on/1.56/bcpkix-jdk15on-1.56.jar","4648af70268b6fdb24674fb1fd7c1fcc73db1231","",""
"bouncycastle","1.56","1.70","java","MIT","permissive","2","2016-12-22T12:18:30Z","bcprov-jdk15on-1.56.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk15on/1.56/bcprov-jdk15on-1.56.jar","a153c6f9744a3e9dd6feab5e210e1c9861362ec7","",""
"bypass-restrictions","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","bypass-restrictions-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/bypass-restrictions-8.1.0.jar","1228b8a0930c91d28dc9af39cfc51fcc86dee49b","",""
"byte-buddy","1.10.4","1.12.8","java","Apache","permissive","0","2019-11-28T21:15:36Z","byte-buddy-1.10.4.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/byte-buddy-1.10.4.jar","e682f5d73de28ac3577aaa71021d355f2ad560f7","",""
"byte-buddy-dep","1.10.4","1.12.8","java","Apache","permissive","0","2019-11-28T21:15:36Z","byte-buddy-1.10.4.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/byte-buddy-1.10.4.jar","e682f5d73de28ac3577aaa71021d355f2ad560f7","",""
"bytelist","1.0.15","1.0.15","java","MIT","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"cglib","","3.3.0","java","Apache","permissive","0","2019-08-12T10:29:18Z","spring-core-5.2.2.RELEASE.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/spring-core-5.2.2.RELEASE.jar:org/springframework/cglib","bfcf2f6d0494d89db63ae170b8491223c93a88dc","",""
"cglib","2.2","3.3.0","java","Apache","permissive","0","2007-10-29T15:24:00Z","cglib-nodep-2.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/cglib-nodep-2.2.jar:net/sf/cglib","59afed7ab65e7ec6585d5bc60556c3cbd203532b","",""
"cglib-nodep","2.2","3.3.0","java","Apache","permissive","0","2007-10-29T15:24:00Z","cglib-nodep-2.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/cglib-nodep-2.2.jar","59afed7ab65e7ec6585d5bc60556c3cbd203532b","",""
"challenge","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","challenge-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/challenge-8.1.0.jar","f7ee31a247ade0cc75493fd0a465d75109b572f2","",""
"chrome-dev-tools","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","chrome-dev-tools-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/chrome-dev-tools-8.1.0.jar","5e0f0f8cfad954d433ced63be88e16d395b1f066","",""
"cia","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","cia-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/cia-8.1.0.jar","391692e432caf700cbe2c77034809e5c4649d42f","",""
"classmate","1.5.1","1.5.1","java","Apache","permissive","0","2019-10-19T22:46:36Z","classmate-1.5.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/classmate-1.5.1.jar","3fe0bed568c62df5e89f4f174c101eab25345b6c","",""
"client","2.1","2.1","java","BSD","permissive","0","2019-09-10T09:35:42Z","postgresql-42.2.8.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/postgresql-42.2.8.jar","6f394c7df5600d11b221f356ff020440d2ece44f","",""
"client-side-filtering","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","client-side-filtering-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/client-side-filtering-8.1.0.jar","84be9171b6ccbee8c3aaa2e1682dc4fc5d7e5cff","",""
"coderay","1.1.0","1.1.3","ruby","MIT","permissive","0","2018-10-30T17:07:56Z","coderay-1.1.0.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/asciidoctorj-1.5.8.1.jar:specifications/coderay-1.1.0.gemspec","197bb3ee209b248ee695cb4dfbcfae7a1e5d5633","",""
"common","2.1","2.1","java","BSD","permissive","0","2019-09-10T09:35:42Z","postgresql-42.2.8.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/postgresql-42.2.8.jar","6f394c7df5600d11b221f356ff020440d2ece44f","",""
"commons-exec","1.3","1.3","java","Apache","permissive","0","2014-11-02T18:44:16Z","commons-exec-1.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/commons-exec-1.3.jar","8dfb9facd0830a27b1b5f29f84593f0aeee7773b","",""
"commons-lang","2.6","2.6","java","Apache","permissive","0","2011-01-13T23:05:12Z","commons-lang-2.6.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/commons-lang-2.6.jar","0ce1edb914c94ebc388f086c6827e8bdeec71ac2","",""
"commons-lang3","3.4","3.12.0","java","Apache","permissive","0","2015-04-03T14:28:42Z","commons-lang3-3.4.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/commons-lang3-3.4.jar","5fe28b9518e58819180a43a850fbc0dd24b7c050","",""
"concurrent-ruby","1.0.5","1.1.9","ruby","MIT","permissive","0","2018-10-30T17:07:56Z","concurrent-ruby-1.0.5-java.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/asciidoctorj-1.5.8.1.jar:specifications/concurrent-ruby-1.0.5-java.gemspec","fb62b19306696d4fc655a5881a115735af5279de","",""
"cross-site-scripting","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:22:16Z","cross-site-scripting-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/cross-site-scripting-8.1.0.jar","5e54b31422cd57d8e603872f864b903a39728a36","",""
"crypto","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","crypto-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/crypto-8.1.0.jar","fa4d5eee016395cd2bfd89195297d0d608bb7ab0","",""
"csrf","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","csrf-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/csrf-8.1.0.jar","3cd13a10dda97144dae166cee7a99e7112aefba4","",""
"did_you_mean","1.0.1","1.6.1","ruby","MIT","permissive","0","2018-04-20T13:25:44Z","did_you_mean-1.0.1.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar:META-INF/jruby.home/lib/ruby/gems/shared/specifications/default/did_you_mean-1.0.1.gemspec","19553ae4e0a5c9ce007f49a16c0523d63f9d9b9b","",""
"dirgra","0.3","0.4","java","EPL","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"dom4j","2.1.1","2.1.3","java","BSD","permissive","1","2018-07-01T16:45:08Z","dom4j-2.1.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/dom4j-2.1.1.jar","3dce5dbb3571aa820c677fadd8349bfa8f00c199","",""
"fastinfoset","1.2.16","2.0.0","java","Apache","permissive","0","2018-12-27T14:32:26Z","FastInfoset-1.2.16.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/FastInfoset-1.2.16.jar","4eb6a0adad553bf759ffe86927df6f3b848c8bea","",""
"flyway-core","6.0.8","8.5.0","java","Apache","permissive","0","2019-10-30T14:36:22Z","flyway-core-6.0.8.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/flyway-core-6.0.8.jar","cdb49b2b552337f1c360be68482bb782b08835e4","",""
"haml","4.0.5","5.2.2","ruby","MIT","permissive","1","2018-10-30T17:07:56Z","haml-4.0.5.gemspec","webgoat-server-8.1.0.jar:BOOT-INF/lib/asciidoctorj-1.5.8.1.jar:specifications/haml-4.0.5.gemspec","178017cac81756750148d2e597bcdc1b93270975","",""
"hdrhistogram","2.1.11","6.3.2.1","java","Apache","permissive","0","2019-01-17T08:06:30Z","HdrHistogram-2.1.11.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/HdrHistogram-2.1.11.jar","1b035a1a4ce5d3441a4a1a331d04839ef487ec49","",""
"hibernate","5.4.9.Final","5.6.5.Final","java","unknown","unknown","0","2019-11-14T14:30:14Z","hibernate-core-5.4.9.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hibernate-core-5.4.9.Final.jar","6a7efbbe889e9644b163f5cc03936b7e2b360293","",""
"hibernate-commons-annotations","5.1.0.Final","5.1.2.Final","java","LGPL","weakcopyleft","0","2018-11-08T14:57:54Z","hibernate-commons-annotations-5.1.0.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hibernate-commons-annotations-5.1.0.Final.jar","700aeedc4a2089816621948f0379e17cbd17d5db","",""
"hibernate-validator","6.0.18.Final","7.0.2.Final","java","Apache","permissive","1","2019-10-25T08:33:12Z","hibernate-validator-6.0.18.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hibernate-validator-6.0.18.Final.jar","7fd00bcd87e14b6ba66279282ef15efa30dd2492","",""
"hsqldb","2.5.0","2.6.1","java","BSD","permissive","0","2019-06-02T20:41:52Z","hsqldb-2.5.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hsqldb-2.5.0.jar:org/hsqldb/server","59298fcd77faf01e02b405def2f80cccbf582508","",""
"hsqldb-jdbc","2.5.0","2.6.1","java","BSD","permissive","0","2019-06-02T20:41:52Z","hsqldb-2.5.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hsqldb-2.5.0.jar","59298fcd77faf01e02b405def2f80cccbf582508","",""
"html-tampering","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","html-tampering-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/html-tampering-8.1.0.jar","ba11b38bcda7f7da647f210196b780b9147dc416","",""
"http-basics","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","http-basics-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/http-basics-8.1.0.jar","7f6a7a74fbefacbd8ae8a837a2937d14b3e76531","",""
"http-proxies","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","http-proxies-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/http-proxies-8.1.0.jar","df280c9ec5a588382ecc0432562a4380e0134d73","",""
"idor","8.1.0","1.0","java","Apache","permissive","0","2020-05-23T12:21:02Z","idor-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/idor-8.1.0.jar","f7168a7dbf8d2e2bfa3bb3dcf54d8d189f2a04ab","",""
"insecure-deserialization","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","insecure-deserialization-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/insecure-deserialization-8.1.0.jar","482d17b87328ae90338e8dd7dc23252fb426f161","",""
"insecure-login","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","insecure-login-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/insecure-login-8.1.0.jar","5663867f70958a2ecf362120c2d5e305ee0b7368","",""
"invokebinder","1.10","1.12","java","Apache","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"istack-commons","3.0.8","4.0.1","java","CDDL+GPL","weakcopyleft","0","2018-12-27T14:43:38Z","istack-commons-runtime-3.0.8.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/istack-commons-runtime-3.0.8.jar","d6a97364045aa6b99bf2d3c566a3f98599c2d296","",""
"jackson","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:08:42Z","jackson-core-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-core-2.10.1.jar","2c8b5e26ba40e5f91eb37a24075a2028b402c5f9","",""
"jackson-annotations","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T22:57:52Z","jackson-annotations-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-annotations-2.10.1.jar","54d72475c0d6819f2d0e9a09d25c3ed876a4972f","",""
"jackson-databind","2.10.1","2.11.4","java","Apache","permissive","1","2019-11-09T23:11:56Z","jackson-databind-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-databind-2.10.1.jar","18eee15ffc662d27538d5b6ee84e4c92c0a9d03e","",""
"jackson-datatype-jdk8","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:29:08Z","jackson-datatype-jdk8-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-datatype-jdk8-2.10.1.jar","db9247b3eb6f07520ff6ff6d1070439edd6803c3","",""
"jackson-datatype-jsr310","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:29:08Z","jackson-datatype-jsr310-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-datatype-jsr310-2.10.1.jar","52ee272b0181a1c0df5c931235c494b1e0e022d0","",""
"jackson-module-parameter-names","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:29:08Z","jackson-module-parameter-names-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-module-parameter-names-2.10.1.jar","6643b48d7dab2fb8c874526bea13ce4cd1a76cb9","",""
"jakarta.annotation-api","1.3.5","2.0.0","java","EPL","permissive","0","2019-08-02T11:04:14Z","jakarta.annotation-api-1.3.5.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.annotation-api-1.3.5.jar","59eb84ee0d616332ff44aba065f3888cf002cd2d","",""
"jakarta.el","3.0.3","4.0.2","java","EPL-2.0","copyleft","0","2019-08-26T10:58:08Z","jakarta.el-3.0.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.el-3.0.3.jar","dab46ee1ee23f7197c13d7c40fce14817c9017df","",""
